Account Name,No. of Employees,Website,HQ Billing Country,Billing State/Province,Billing City,Billing Street,Billing Zip/Postal Code,Industry,LinkedIn Company Id,Account LinkedIn URL,Core Account Fit Tier
Hardesty Concrete Construction,58,hardestyconcrete.com,,Virginia,Sterling,45180 Business Court,20166,Building Structure and Exterior Contractors,5034937,https://www.linkedin.com/company/hardesty-concrete,Tier 2
Atlantis Partners Technology Architects,58,atlantispartners.com,,New Jersey,Fairfield,Route 46,7058,IT Services and IT Consulting,3177714,https://www.linkedin.com/company/atlantis-partners---technology-architects,Tier 2
Heartland Automation,58,heartlandautomation.com,,Kentucky,Georgetown,,,Automation Machinery Manufacturing,9412386,https://www.linkedin.com/company/heartland-automation-llc,Tier 2
ISCorp,58,iscorp.com,,Wisconsin,Mequon,10325 North Port Washington Road,53092,Information Services,746812,https://www.linkedin.com/company/iscorp,Tier 2
Public Policy Lab,58,publicpolicylab.org,,New York,Brooklyn,20 Jay Street,11201,Civic and Social Organizations,2460936,https://www.linkedin.com/company/public-policy-lab,Tier 2
Affiliated Financial Group,58,afingrp.com,,West Virginia,Elkview,4508 Pennsylvania Avenue,25302,Insurance Carriers,74798938,https://www.linkedin.com/company/affiliatedfinancialgroupinc,Tier 2
MediSpend,59,medispend.com,,New Hampshire,Portsmouth,100 International Drive,3801,IT Services and IT Consulting,827209,https://www.linkedin.com/company/medispend/,Tier 2
Cho America,59,cho-america.com,,Texas,Houston,204 Ymca Drive,77521,Wholesale Raw Farm Products,5590014,https://www.linkedin.com/company/c-h-o-america,Tier 2
Ad 2 Orlando,59,ad2orlando.org,,Florida,Orlando,,,Advertising Services,430496,https://www.linkedin.com/company/ad-2-orlando,Tier 2
Blue Tide,59,bluetide.com,,Texas,,,77027,Environmental Services,,linkedin.com/company/blue-tide-base-oil/,Tier 2
Blue Coding,60,bluecoding.com,,Florida,Miami,"4177, 2250 Northwest 114th Avenue",33172,Software Development,10566860,https://www.linkedin.com/company/blue-coding-llc,Tier 2
Blackstone Industries,60,blackstoneind.com,,Connecticut,Bethel,16 Stony Hill Rd.,6801,Metalworking Machinery Manufacturing,326217,https://www.linkedin.com/company/blackstone-industries,Tier 2
T. C. Jacoby & Company,60,jacoby.com,,Missouri,St Louis,"1716 Hidden Creek Court
Suite 250",63131,Dairy Product Manufacturing,14791431,https://www.linkedin.com/company/tcjacoby,Tier 2
Cohen & Company Securities,60,cohensecurities.com,,New York,Boca Raton,,,Financial Services,,https://www.linkedin.com/company/jvb-financial-group-llc,Tier 2
American Performance Polymers LLC,60,americanperformancepolymers.com,,New Hampshire,Colebrook,23 Gould St,1944,Medical Equipment Manufacturing,,https://www.linkedin.com/company/american-performance-polymers,Tier 2
PeoplesChoice Credit Union,60,peopleschoicecreditunion.com,,Maine,Saco,23 Industrial Park Rd,4072,Savings Institutions,,https://www.linkedin.com/company/peopleschoice-credit-union,Tier 2
meshIQ,61,meshiq.com,,New York,Plainview,,,Software Development,59814,https://www.linkedin.com/company/meshiq,Tier 2
IfYoureReadingThis.org,61,ifyourereadingthis.org,,Virginia,,,,Non-profit Organizations,,https://www.linkedin.com/company/ifyourereadingthis,Tier 2
Allied Group Renovation Experts,62,addastar.com,,New Jersey,Neptune,2109 Heck Avenue,7753,Building Structure and Exterior Contractors,522252,https://www.linkedin.com/company/allied-construction-management,Tier 2
Waunakee Remodeling,62,waunakeeremodeling.com,,Wisconsin,Madison,1001 Frank H Street,53597,Building Structure and Exterior Contractors,903984,https://www.linkedin.com/company/waunakee-remodeling,Tier 2
Winona IT,62,winonait.com,,Indiana,Warsaw,109 East Prairie Street,46580,IT Services and IT Consulting,19011482,https://www.linkedin.com/company/winonait,Tier 2
The International Partnership of Education Research and Communication,62,iperc.org,,Ohio,Columbus,1170 Old Henderson Rd Ste 208,43220,Education Administration Programs,,https://www.linkedin.com/company/iperc,Tier 2
Icode Technologies,62,icodetek.com,,Michigan,Farmington,,,Technology Information and Internet,89509007,https://www.linkedin.com/company/icode-tek,Tier 2
FILAMATIC,63,filamatic.com,,Maryland,Baltimore,4119 Fordleigh Rd,21215,Machinery Manufacturing,207822,https://www.linkedin.com/company/filamatic/,Tier 2
Beacon Hill Club,63,beaconhillclub.org,,New Jersey,Summit,250 Hobart Avenue,7901,Spectator Sports,,https://www.linkedin.com/company/beacon-hill-club,Tier 2
The Charlton School,63,charltonschool.org,,New York,,,,Mental Health Care,,https://www.linkedin.com/company/charlton-school,Tier 2
High Alpha Innovation - Customer,64,highalphainno.com,,Indiana,,,46204,Venture Capital and Private Equity Principals,64936975,https://www.linkedin.com/company/hainnovation,Tier 2
Habitat For Humanity Philadelphia,64,habitatphiladelphia.org,,Pennsylvania,Philadelphia,1829 North 19th Street,19121,Non-profit Organizations,801105,https://www.linkedin.com/company/habitat-for-humanity-philadelphia-inc-,Tier 2
Grand Industrial,64,grandindustrial.com,,Indiana,Indianapolis,802 East 86th Street,46240,Construction,656099,https://www.linkedin.com/company/grand-industrial,Tier 2
Covation Biomaterials,64,covationbio.com,,Delaware,Newark,"800  PRIDES XING 
STE 201",19713,Chemical Manufacturing,19137093,https://www.linkedin.com/company/covation-biomaterials,Tier 2
Nyu Mcsilver Institute,64,mcsilver.nyu.edu,,New York,New York,,,Research Services,5192962,https://www.linkedin.com/company/nyumcsilver,Tier 2
Diverse Logistics & Distribution,65,elitediverse.com,,Florida,Tampa,6530 Tampa Executive Airport Rd,33602,Transportation Logistics Supply Chain and Storage,52878793,https://www.linkedin.com/company/diverse-logistics-&-distribution-inc.,Tier 2
Its Internet Travel Solutions,65,its.com,,Texas,Dallas,"801 E Campbell Rd, Ste 320",75081,Software Development,29017500,https://www.linkedin.com/company/its-internet-travel-solutions,Tier 2
Joe Mama's,65,joemamaspizza.com,,Florida,Port St Joe,,,Baked Goods Manufacturing,60913173,https://www.linkedin.com/company/joe-mama's-llc,Tier 2
SunviENG,66,sunvieng.com,,Texas,Dallas,,,Telecommunications,13667890,https://www.linkedin.com/company/sunvieng,Tier 2
Charter Furniture,66,charterfurniture.com,,North Carolina,Liberty,9860 Gidley Street,91731,Wholesale Furniture and Home Furnishings,27249038,https://www.linkedin.com/company/charterfurniture,Tier 2
Parts Life,66,partslifeinc.com,,New Jersey,Moorestown,Twosome Drive,8077,Aviation and Aerospace Component Manufacturing,1511672,https://www.linkedin.com/company/partslifeinc,Tier 2
Production Management One,66,productionmanagementone.com,,Maryland,Gaithersburg,4059 Broad River Rd,29210,Events Services,11781426,https://www.linkedin.com/company/production-management-one,Tier 2
Georgetown University Public Real Estate Fund,66,gupref.org,,District of Columbia,,,,Real Estate,,https://www.linkedin.com/company/georgetown-university-public-real-estate-fund,Tier 2
Epic Creative,67,epiccreative.com,,Wisconsin,West Bend,300 S 6th Ave,53095,Advertising Services,90316,https://www.linkedin.com/company/epic-creative,Tier 2
Stone Ward,67,stoneward.com,,Arkansas,Little Rock,225 East Markham Street,72201,Advertising Services,27182,https://www.linkedin.com/company/stone-ward,Tier 2
Hamilton Farm Golf Club,67,hamiltonfarmgolfclub.com,,New Jersey,Peapack - Gladstone,1040 Pottersville Road,7934,Golf Courses and Country Clubs,1681518,https://www.linkedin.com/company/hamilton-farm-golf-club,Tier 2
